name,website_url,careers_url,country,source_type,external_id,source_url,notes
Canonical,https://canonical.com,https://canonical.com/careers,,MANUAL,,https://canonical.com/careers,Curated LinkedIn careers list
Konfio,https://konfio.mx,https://konfio.mx/vacantes/,,MANUAL,,https://konfio.mx/vacantes/,Curated LinkedIn careers list
dLocal,https://www.dlocal.com,https://www.dlocal.com/careers/,,MANUAL,,https://www.dlocal.com/careers/,Curated LinkedIn careers list
Remote,https://remote.com,https://remote.com/openings,,MANUAL,,https://remote.com/openings,Curated LinkedIn careers list
GitLab,https://gitlab.com,https://job-boards.greenhouse.io/gitlab,,MANUAL,,https://job-boards.greenhouse.io/gitlab,Curated LinkedIn careers list
Platzi,https://platzi.com,https://platzi.com/unete/careers/,,MANUAL,,https://platzi.com/unete/careers/,Curated LinkedIn careers list
Lumenalta,https://lumenalta.com,https://lumenalta.com/remote-jobs,,MANUAL,,https://lumenalta.com/remote-jobs,Curated LinkedIn careers list
Toptal,https://www.toptal.com,https://www.toptal.com/careers,,MANUAL,,https://www.toptal.com/careers,Curated LinkedIn careers list
Globant,https://www.globant.com,https://career.globant.com/,,MANUAL,,https://career.globant.com/,Curated LinkedIn careers list
Stori,https://www.storicard.com,https://www.storicard.com/trabaja-en-stori,,MANUAL,,https://www.storicard.com/trabaja-en-stori,Curated LinkedIn careers list
Bitso,https://bitso.com,https://bitso.com/jobs/,,MANUAL,,https://bitso.com/jobs/,Curated LinkedIn careers list
Deel,https://www.deel.com,https://www.deel.com/careers/,,MANUAL,,https://www.deel.com/careers/,Curated LinkedIn careers list
Belvo,https://belvo.com,https://belvo.com/careers/,,MANUAL,,https://belvo.com/careers/,Curated LinkedIn careers list
